pickup_location,drop_location,pickup_date,pickup_time,pickup_hour,time_of_day,weekday,is_weekend,season,passenger_count,trip_distance_km,traffic_level,actual_eta_minutes,average_speed,surge_multiplier
South Slope,Midtown,11-04-2016,14:18,14,Afternoon,Monday,0,Spring,1,1.09,Low,16.2,4.0,1.0
East Harlem,Upper West Side,21-01-2016,14:34,14,Afternoon,Thursday,0,Winter,1,1.81,Low,10.1,10.8,1.0
Harlem,South Slope,09-02-2016,15:54,15,Afternoon,Tuesday,0,Winter,1,1.63,Low,9.9,9.9,1.0
Williamsburg,Crown Heights,20-04-2016,20:29,20,Evening,Wednesday,0,Spring,1,2.39,Medium,9.6,14.9,1.3
East Harlem,Crown Heights,18-01-2016,11:13,11,Morning,Monday,0,Winter,1,1.16,Low,5.0,13.9,1.0
Clinton Hill,Harlem,07-01-2016,23:24,23,Evening,Thursday,0,Winter,1,0.95,Low,1.7,33.5,1.0
West Village,South Slope,10-06-2016,22:24,22,Evening,Friday,0,Summer,1,6.85,Low,17.4,23.6,1.0
Chelsea,West Village,23-06-2016,22:17,22,Evening,Thursday,0,Summer,1,0.7,Low,3.5,12.0,1.0
Park Slope,Upper West Side,07-02-2016,18:08,18,Evening,Sunday,1,Winter,1,2.68,High,7.0,23.0,1.8
Kensington,Midtown,02-03-2016,20:15,20,Evening,Wednesday,0,Spring,1,5.19,Medium,22.6,13.8,1.3
Bedford-Stuyvesant,Harlem,24-02-2016,22:56,22,Evening,Wednesday,0,Winter,1,0.38,Low,6.9,3.3,1.0
Fort Greene,Kensington,06-04-2016,12:14,12,Afternoon,Wednesday,0,Spring,1,1.89,Low,18.6,6.1,1.0
Murray Hill,West Village,17-06-2016,10:01,10,Morning,Friday,0,Summer,1,2.95,Medium,14.6,12.1,1.3
Chinatown,Williamsburg,16-06-2016,20:31,20,Evening,Thursday,0,Summer,1,2.19,Medium,5.4,24.3,1.3
East Harlem,Hell's Kitchen,30-03-2016,23:49,23,Evening,Wednesday,0,Spring,1,1.42,Low,6.7,12.7,1.0
Kensington,Harlem,05-01-2016,17:58,17,Afternoon,Tuesday,0,Winter,1,1.38,High,15.6,5.3,1.8
East Harlem,Crown Heights,19-03-2016,19:51,19,Evening,Saturday,1,Spring,3,1.27,High,12.9,5.9,1.8
Park Slope,Murray Hill,22-01-2016,17:31,17,Afternoon,Friday,0,Winter,3,1.36,High,5.6,14.6,1.8
Williamsburg,West Village,18-05-2016,19:08,19,Evening,Wednesday,0,Spring,1,1.8,High,3.9,27.7,1.8
Kensington,Kensington,25-05-2016,13:19,13,Afternoon,Wednesday,0,Spring,5,2.41,Low,7.9,18.3,1.0
East Harlem,Clinton Hill,26-03-2016,13:07,13,Afternoon,Saturday,1,Spring,1,10.66,Low,21.9,29.2,1.0
Upper West Side,Bedford-Stuyvesant,19-01-2016,22:20,22,Evening,Tuesday,0,Winter,2,3.21,Low,8.0,24.1,1.0
West Village,Crown Heights,29-05-2016,00:15,0,Night,Sunday,1,Spring,1,3.77,Low,9.4,24.1,1.0
Bedford-Stuyvesant,Williamsburg,10-02-2016,21:06,21,Evening,Wednesday,0,Winter,2,0.85,Low,3.2,15.9,1.0
Chelsea,Hell's Kitchen,26-02-2016,20:59,20,Evening,Friday,0,Winter,2,4.62,Medium,15.2,18.2,1.3
Kensington,Harlem,09-03-2016,13:41,13,Afternoon,Wednesday,0,Spring,2,0.73,Low,12.3,3.6,1.0
Fort Greene,South Slope,11-04-2016,10:44,10,Morning,Monday,0,Spring,6,2.81,Medium,11.9,14.2,1.3
Upper West Side,Hell's Kitchen,09-02-2016,06:58,6,Morning,Tuesday,0,Winter,1,3.7,Low,13.6,16.3,1.0
Kensington,West Village,03-03-2016,22:01,22,Evening,Thursday,0,Spring,2,2.23,Low,16.2,8.3,1.0
South Slope,Harlem,26-03-2016,14:47,14,Afternoon,Saturday,1,Spring,1,1.3,Low,5.3,14.7,1.0
Clinton Hill,Hell's Kitchen,22-05-2016,18:06,18,Evening,Sunday,1,Spring,1,2.42,High,10.4,14.0,1.8
Bedford-Stuyvesant,Harlem,28-05-2016,22:53,22,Evening,Saturday,1,Spring,1,2.32,Low,14.3,9.7,1.0
Upper West Side,Clinton Hill,16-03-2016,05:42,5,Night,Wednesday,0,Spring,2,1.71,Low,2.4,42.8,1.0
Midtown,Harlem,28-05-2016,17:40,17,Afternoon,Saturday,1,Spring,1,4.7,High,16.4,17.2,1.8
East Harlem,Park Slope,13-06-2016,13:22,13,Afternoon,Monday,0,Summer,2,1.61,Low,9.4,10.3,1.0
Upper West Side,Harlem,16-05-2016,15:02,15,Afternoon,Monday,0,Spring,1,1.28,Low,5.8,13.2,1.0
Harlem,South Slope,09-01-2016,15:07,15,Afternoon,Saturday,1,Winter,1,2.63,Low,5.7,27.7,1.0
Inwood,East Harlem,26-05-2016,06:37,6,Morning,Thursday,0,Spring,4,5.18,Low,15.2,20.4,1.0
Inwood,East Harlem,22-05-2016,22:42,22,Evening,Sunday,1,Spring,1,1.49,Low,3.8,23.5,1.0
Bedford-Stuyvesant,Bedford-Stuyvesant,19-04-2016,09:27,9,Morning,Tuesday,0,Spring,6,2.09,High,18.0,7.0,1.8
Kensington,Harlem,01-04-2016,07:55,7,Morning,Friday,0,Spring,1,1.71,Medium,15.0,6.8,1.3
Upper West Side,Bedford-Stuyvesant,01-02-2016,18:02,18,Evening,Monday,0,Winter,1,1.66,High,10.5,9.5,1.8
Sheepshead Bay,Gravesend,20-04-2016,07:33,7,Morning,Wednesday,0,Spring,1,9.03,Medium,23.1,23.5,1.3
Sheepshead Bay,Midwood,12-04-2016,09:21,9,Morning,Tuesday,0,Spring,1,1.23,High,14.5,5.1,1.8
Crown Heights,Chelsea,19-06-2016,18:39,18,Evening,Sunday,1,Summer,1,1.97,High,9.6,12.3,1.8
Bayswater,Sheepshead Bay,17-03-2016,08:24,8,Morning,Thursday,0,Spring,1,0.62,High,1.7,21.9,1.8
South Slope,Williamsburg,07-04-2016,08:44,8,Morning,Thursday,0,Spring,1,1.39,High,7.0,11.9,1.8
East Harlem,Clinton Hill,01-01-2016,10:45,10,Morning,Friday,0,Winter,1,1.76,Medium,6.4,16.5,1.3
Midtown,Upper West Side,04-01-2016,16:32,16,Afternoon,Monday,0,Winter,2,7.38,Medium,18.6,23.8,1.3
East Harlem,Inwood,09-06-2016,18:43,18,Evening,Thursday,0,Summer,1,2.21,High,24.1,5.5,1.8
Bensonhurst,Coney Island,19-04-2016,08:31,8,Morning,Tuesday,0,Spring,2,13.38,High,42.4,18.9,1.8
Upper West Side,Harlem,10-06-2016,22:06,22,Evening,Friday,0,Summer,1,9.41,Low,16.4,34.4,1.0
Crown Heights,Clinton Hill,14-03-2016,04:24,4,Night,Monday,0,Spring,3,3.8,Low,12.6,18.1,1.0
Midwood,Great Kills,06-04-2016,08:53,8,Morning,Wednesday,0,Spring,1,11.26,High,21.0,32.2,1.8
West Village,Kensington,02-04-2016,14:46,14,Afternoon,Saturday,1,Spring,2,7.12,Low,20.4,20.9,1.0
Midwood,Grymes Hill,06-04-2016,12:24,12,Afternoon,Wednesday,0,Spring,2,1.72,Low,15.7,6.6,1.0
Murray Hill,Kensington,12-04-2016,20:22,20,Evening,Tuesday,0,Spring,1,0.57,Medium,2.1,16.3,1.3
Chinatown,Bedford-Stuyvesant,10-02-2016,08:36,8,Morning,Wednesday,0,Winter,1,0.94,High,5.8,9.7,1.8
Upper West Side,Bedford-Stuyvesant,26-02-2016,16:10,16,Afternoon,Friday,0,Winter,1,2.01,Medium,12.3,9.8,1.3
Williamsburg,Harlem,14-01-2016,12:25,12,Afternoon,Thursday,0,Winter,3,2.59,Low,11.5,13.5,1.0
Hell's Kitchen,East Harlem,15-04-2016,11:58,11,Morning,Friday,0,Spring,2,1.61,Low,11.2,8.6,1.0
West Village,Inwood,07-02-2016,23:17,23,Evening,Sunday,1,Winter,1,2.01,Low,7.7,15.7,1.0
Sheepshead Bay,Far Rockaway,15-04-2016,14:41,14,Afternoon,Friday,0,Spring,1,1.43,Low,6.1,14.1,1.0
Harlem,Bedford-Stuyvesant,19-06-2016,20:23,20,Evening,Sunday,1,Summer,1,1.85,Medium,6.2,17.9,1.3
Castleton Corners,Fort Hamilton,15-01-2016,19:25,19,Evening,Friday,0,Winter,1,1.48,High,6.7,13.3,1.8
Bath Beach,Sheepshead Bay,18-02-2016,09:27,9,Morning,Thursday,0,Winter,5,8.14,High,18.2,26.8,1.8
Murray Hill,Williamsburg,31-01-2016,13:52,13,Afternoon,Sunday,1,Winter,1,3.37,Low,11.0,18.4,1.0
Harlem,Crown Heights,07-01-2016,15:40,15,Afternoon,Thursday,0,Winter,2,1.68,Low,8.8,11.5,1.0
Bedford-Stuyvesant,Upper West Side,05-06-2016,03:02,3,Night,Sunday,1,Summer,1,6.35,Low,12.2,31.2,1.0
Murray Hill,Upper West Side,31-05-2016,19:16,19,Evening,Tuesday,0,Spring,2,2.39,High,11.6,12.4,1.8
East Harlem,Upper West Side,14-06-2016,21:16,21,Evening,Tuesday,0,Summer,2,2.49,Low,4.9,30.5,1.0
Gravesend,Sheepshead Bay,23-02-2016,13:28,13,Afternoon,Tuesday,0,Winter,1,2.33,Low,11.0,12.7,1.0
East Harlem,East Village,30-06-2016,21:35,21,Evening,Thursday,0,Summer,1,2.11,Low,10.9,11.6,1.0
Midtown,Upper West Side,15-02-2016,17:52,17,Afternoon,Monday,0,Winter,5,4.13,High,9.8,25.3,1.8
Williamsburg,Bedford-Stuyvesant,07-04-2016,22:52,22,Evening,Thursday,0,Spring,2,3.52,Low,17.6,12.0,1.0
Williamsburg,Hell's Kitchen,29-01-2016,11:23,11,Morning,Friday,0,Winter,1,1.58,Low,9.7,9.8,1.0
Crown Heights,Harlem,01-06-2016,20:15,20,Evening,Wednesday,0,Summer,5,2.13,Medium,19.2,6.7,1.3
South Slope,Bedford-Stuyvesant,09-04-2016,09:09,9,Morning,Saturday,1,Spring,1,6.3,High,11.0,34.4,1.8
Harlem,Fort Greene,03-01-2016,02:03,2,Night,Sunday,1,Winter,1,2.71,Low,13.4,12.1,1.0
Midwood,Bensonhurst,14-04-2016,08:31,8,Morning,Thursday,0,Spring,1,4.66,High,32.6,8.6,1.8
Harlem,South Slope,16-01-2016,20:34,20,Evening,Saturday,1,Winter,6,3.87,Medium,17.2,13.5,1.3
Great Kills,Midwood,29-04-2016,14:18,14,Afternoon,Friday,0,Spring,4,13.88,Low,47.0,17.7,1.0
Hell's Kitchen,Hell's Kitchen,29-03-2016,06:07,6,Morning,Tuesday,0,Spring,5,0.93,Low,1.4,39.9,1.0
Fort Greene,South Slope,02-01-2016,01:16,1,Night,Saturday,1,Winter,1,0.92,Low,3.2,17.2,1.0
Arverne,Arverne,05-02-2016,17:28,17,Afternoon,Friday,0,Winter,1,0.99,High,1.9,31.3,1.8
Chinatown,Bedford-Stuyvesant,22-05-2016,13:08,13,Afternoon,Sunday,1,Spring,1,2.3,Low,13.4,10.3,1.0
South Slope,Upper West Side,28-05-2016,21:31,21,Evening,Saturday,1,Spring,1,2.44,Low,10.0,14.6,1.0
South Slope,Midtown,06-03-2016,10:53,10,Morning,Sunday,1,Spring,1,1.01,Medium,6.1,9.9,1.3
Upper West Side,Clinton Hill,31-05-2016,19:53,19,Evening,Tuesday,0,Spring,1,1.76,High,7.2,14.7,1.8
"Bay Terrace, Staten Island",Brighton Beach,17-05-2016,18:00,18,Evening,Tuesday,0,Spring,4,1.16,High,10.0,7.0,1.8
Eltingville,Arden Heights,24-04-2016,09:09,9,Morning,Sunday,1,Spring,1,23.57,High,27.8,50.9,1.8
Harlem,Upper West Side,01-04-2016,09:28,9,Morning,Friday,0,Spring,1,2.59,High,14.0,11.1,1.8
Arden Heights,Fort Hamilton,16-05-2016,13:05,13,Afternoon,Monday,0,Spring,3,11.75,Low,28.3,24.9,1.0
Harlem,Upper West Side,15-02-2016,16:36,16,Afternoon,Monday,0,Winter,2,1.16,Medium,5.5,12.7,1.3
Bedford-Stuyvesant,Chinatown,01-01-2016,00:09,0,Night,Friday,0,Winter,2,3.89,Low,10.4,22.4,1.0
Far Rockaway,Sheepshead Bay,24-03-2016,18:27,18,Evening,Thursday,0,Spring,1,1.65,High,5.7,17.4,1.8
Oakwood,Eltingville,04-01-2016,14:20,14,Afternoon,Monday,0,Winter,1,9.01,Low,16.6,32.6,1.0
Bensonhurst,Great Kills,15-03-2016,09:44,9,Morning,Tuesday,0,Spring,1,10.45,High,22.8,27.5,1.8
South Slope,Clinton Hill,15-06-2016,10:17,10,Morning,Wednesday,0,Summer,2,4.61,Medium,9.9,27.9,1.3
Upper West Side,Park Slope,18-03-2016,07:48,7,Morning,Friday,0,Spring,1,1.78,Medium,5.2,20.5,1.3
Bedford-Stuyvesant,Murray Hill,26-04-2016,14:42,14,Afternoon,Tuesday,0,Spring,1,1.94,Low,14.8,7.9,1.0
