pickup_location,drop_location,pickup_hour,weekday,is_weekend,season,trip_distance_km,traffic_level,passenger_count,surge_multiplier
Harlem,Upper West Side,16,Tuesday,0,Spring,3.41,Medium,1,1.3
East Harlem,Bedford-Stuyvesant,21,Thursday,0,Spring,5.62,Low,2,1.0
East Harlem,Kensington,13,Thursday,0,Spring,2.67,Low,2,1.0
Todt Hill,Bayswater,14,Monday,0,Spring,2.53,Low,1,1.0
Harlem,Inwood,1,Saturday,1,Spring,1.18,Low,1,1.0
Park Slope,Inwood,7,Friday,0,Winter,2.45,Medium,1,1.3
South Slope,East Harlem,15,Monday,0,Summer,8.53,Low,1,1.0
Crown Heights,Inwood,16,Sunday,1,Winter,1.35,Medium,1,1.3
Hell's Kitchen,East Harlem,8,Friday,0,Winter,1.97,High,1,1.8
Midtown,Upper West Side,21,Wednesday,0,Spring,5.4,Low,3,1.0
Clinton Hill,Upper West Side,19,Sunday,1,Spring,3.49,High,1,1.8
Fort Hamilton,Tottenville,23,Tuesday,0,Winter,22.02,Low,1,1.0
Kensington,Hell's Kitchen,13,Saturday,1,Spring,4.83,Low,1,1.0
Fort Hamilton,Far Rockaway,9,Monday,0,Winter,2.66,High,6,1.8
Murray Hill,Harlem,14,Wednesday,0,Spring,1.3,Low,1,1.0
Kensington,Bedford-Stuyvesant,9,Sunday,1,Spring,10.21,High,1,1.8
Tottenville,Huguenot,11,Tuesday,0,Spring,4.02,Low,3,1.0
Upper West Side,West Village,15,Saturday,1,Winter,1.56,Low,2,1.0
Crown Heights,East Harlem,11,Friday,0,Spring,4.63,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,15,Monday,0,Spring,2.53,Low,1,1.0
West Village,Fort Greene,17,Saturday,1,Spring,4.46,High,1,1.8
South Slope,Bedford-Stuyvesant,2,Monday,0,Winter,3.33,Low,1,1.0
Harlem,Harlem,17,Thursday,0,Winter,2.69,High,4,1.8
Harlem,Harlem,12,Friday,0,Spring,1.73,Low,1,1.0
Inwood,Clinton Hill,12,Tuesday,0,Spring,3.46,Low,1,1.0
Fort Greene,Fort Greene,16,Sunday,1,Spring,1.3,Medium,1,1.3
South Slope,Crown Heights,17,Saturday,1,Spring,1.34,High,1,1.8
West Village,South Slope,11,Monday,0,Winter,2.71,Low,1,1.0
Harlem,Harlem,22,Saturday,1,Summer,14.22,Low,2,1.0
Upper West Side,Bedford-Stuyvesant,20,Friday,0,Spring,0.63,Medium,1,1.3
Bensonhurst,Sheepshead Bay,16,Wednesday,0,Winter,2.93,Medium,5,1.3
Great Kills,Arden Heights,22,Tuesday,0,Summer,6.12,Low,1,1.0
Bedford-Stuyvesant,Park Slope,20,Wednesday,0,Spring,1.36,Medium,1,1.3
Upper West Side,Upper West Side,21,Saturday,1,Winter,0.4,Low,1,1.0
East Harlem,Upper West Side,18,Saturday,1,Winter,1.38,High,2,1.8
Kensington,"Bay Terrace, Staten Island",17,Thursday,0,Spring,14.16,High,1,1.8
Upper West Side,Williamsburg,23,Sunday,1,Spring,3.71,Low,1,1.0
Bedford-Stuyvesant,West Village,13,Monday,0,Spring,5.55,Low,3,1.0
Upper West Side,Bedford-Stuyvesant,17,Friday,0,Summer,5.95,High,1,1.8
Midtown,Bedford-Stuyvesant,0,Wednesday,0,Spring,4.23,Low,1,1.0
Harlem,Harlem,21,Tuesday,0,Spring,6.82,Low,1,1.0
West Village,South Slope,12,Saturday,1,Summer,6.27,Low,1,1.0
Park Slope,Midtown,14,Thursday,0,Winter,1.59,Low,1,1.0
Bedford-Stuyvesant,Williamsburg,19,Thursday,0,Winter,1.59,High,1,1.8
South Slope,Kensington,18,Sunday,1,Summer,1.1,High,1,1.8
Bedford-Stuyvesant,Harlem,7,Monday,0,Summer,1.0,Medium,1,1.3
Bedford-Stuyvesant,East Harlem,21,Saturday,1,Winter,5.28,Low,1,1.0
Tottenville,Great Kills,23,Wednesday,0,Spring,23.62,Low,1,1.0
Concord,Flatlands,20,Friday,0,Spring,1.91,Medium,2,1.3
Upper West Side,South Slope,11,Thursday,0,Winter,0.95,Low,1,1.0
Chelsea,Clinton Hill,14,Friday,0,Summer,1.75,Low,1,1.0
Midtown,East Harlem,16,Friday,0,Spring,1.76,Medium,1,1.3
Clinton Hill,Midtown,15,Sunday,1,Spring,1.51,Low,1,1.0
Arverne,Brighton Beach,19,Wednesday,0,Spring,12.51,High,1,1.8
Great Kills,Flatlands,11,Thursday,0,Spring,13.53,Low,3,1.0
Fort Hamilton,Rockaway Beach,13,Saturday,1,Winter,1.85,Low,1,1.0
Fort Greene,Park Slope,19,Wednesday,0,Winter,2.73,High,1,1.8
East Harlem,South Slope,23,Thursday,0,Summer,1.44,Low,1,1.0
East Harlem,Kensington,13,Thursday,0,Winter,3.1,Low,1,1.0
Tottenville,Great Kills,16,Wednesday,0,Spring,20.65,Medium,1,1.3
Fort Hamilton,Fort Hamilton,10,Friday,0,Spring,1.66,Medium,2,1.3
Chinatown,East Harlem,11,Wednesday,0,Summer,3.67,Low,1,1.0
Clinton Hill,Hell's Kitchen,21,Wednesday,0,Spring,1.21,Low,1,1.0
Prince's Bay,Prince's Bay,20,Friday,0,Winter,24.09,Medium,3,1.3
Kensington,South Slope,21,Tuesday,0,Spring,3.49,Low,1,1.0
Tottenville,Eltingville,20,Monday,0,Summer,23.64,Medium,6,1.3
South Slope,East Harlem,8,Wednesday,0,Winter,2.51,High,1,1.8
East Harlem,Bedford-Stuyvesant,15,Saturday,1,Spring,2.7,Low,1,1.0
Murray Hill,Clinton Hill,11,Friday,0,Spring,1.47,Low,4,1.0
Hell's Kitchen,East Harlem,10,Tuesday,0,Spring,1.04,Medium,1,1.3
East Harlem,Kensington,8,Sunday,1,Winter,1.57,High,2,1.8
East Harlem,Upper West Side,17,Thursday,0,Winter,1.18,High,2,1.8
"Bay Terrace, Staten Island",Arverne,17,Sunday,1,Spring,17.48,High,1,1.8
Gravesend,Bensonhurst,20,Saturday,1,Spring,4.51,Medium,1,1.3
Hell's Kitchen,Fort Greene,23,Tuesday,0,Winter,5.57,Low,1,1.0
Kensington,Crown Heights,15,Saturday,1,Winter,3.78,Low,2,1.0
Williamsburg,Tottenville,0,Monday,0,Summer,27.13,Low,1,1.0
South Slope,Clinton Hill,6,Monday,0,Spring,2.95,Low,1,1.0
South Slope,Midtown,14,Monday,0,Spring,1.09,Low,1,1.0
East Harlem,Upper West Side,14,Thursday,0,Winter,1.81,Low,1,1.0
Harlem,South Slope,15,Tuesday,0,Winter,1.63,Low,1,1.0
Williamsburg,Crown Heights,20,Wednesday,0,Spring,2.39,Medium,1,1.3
East Harlem,Crown Heights,11,Monday,0,Winter,1.16,Low,1,1.0
Clinton Hill,Harlem,23,Thursday,0,Winter,0.95,Low,1,1.0
West Village,South Slope,22,Friday,0,Summer,6.85,Low,1,1.0
Chelsea,West Village,22,Thursday,0,Summer,0.7,Low,1,1.0
Park Slope,Upper West Side,18,Sunday,1,Winter,2.68,High,1,1.8
Kensington,Midtown,20,Wednesday,0,Spring,5.19,Medium,1,1.3
Bedford-Stuyvesant,Harlem,22,Wednesday,0,Winter,0.38,Low,1,1.0
Fort Greene,Kensington,12,Wednesday,0,Spring,1.89,Low,1,1.0
Murray Hill,West Village,10,Friday,0,Summer,2.95,Medium,1,1.3
Chinatown,Williamsburg,20,Thursday,0,Summer,2.19,Medium,1,1.3
East Harlem,Hell's Kitchen,23,Wednesday,0,Spring,1.42,Low,1,1.0
Kensington,Harlem,17,Tuesday,0,Winter,1.38,High,1,1.8
East Harlem,Crown Heights,19,Saturday,1,Spring,1.27,High,3,1.8
Park Slope,Murray Hill,17,Friday,0,Winter,1.36,High,3,1.8
Williamsburg,West Village,19,Wednesday,0,Spring,1.8,High,1,1.8
Kensington,Kensington,13,Wednesday,0,Spring,2.41,Low,5,1.0
East Harlem,Clinton Hill,13,Saturday,1,Spring,10.66,Low,1,1.0
Upper West Side,Bedford-Stuyvesant,22,Tuesday,0,Winter,3.21,Low,2,1.0
West Village,Crown Heights,0,Sunday,1,Spring,3.77,Low,1,1.0
Bedford-Stuyvesant,Williamsburg,21,Wednesday,0,Winter,0.85,Low,2,1.0
Chelsea,Hell's Kitchen,20,Friday,0,Winter,4.62,Medium,2,1.3
Kensington,Harlem,13,Wednesday,0,Spring,0.73,Low,2,1.0
Fort Greene,South Slope,10,Monday,0,Spring,2.81,Medium,6,1.3
Upper West Side,Hell's Kitchen,6,Tuesday,0,Winter,3.7,Low,1,1.0
Kensington,West Village,22,Thursday,0,Spring,2.23,Low,2,1.0
South Slope,Harlem,14,Saturday,1,Spring,1.3,Low,1,1.0
Clinton Hill,Hell's Kitchen,18,Sunday,1,Spring,2.42,High,1,1.8
Bedford-Stuyvesant,Harlem,22,Saturday,1,Spring,2.32,Low,1,1.0
Upper West Side,Clinton Hill,5,Wednesday,0,Spring,1.71,Low,2,1.0
Midtown,Harlem,17,Saturday,1,Spring,4.7,High,1,1.8
East Harlem,Park Slope,13,Monday,0,Summer,1.61,Low,2,1.0
Upper West Side,Harlem,15,Monday,0,Spring,1.28,Low,1,1.0
Harlem,South Slope,15,Saturday,1,Winter,2.63,Low,1,1.0
Inwood,East Harlem,6,Thursday,0,Spring,5.18,Low,4,1.0
Inwood,East Harlem,22,Sunday,1,Spring,1.49,Low,1,1.0
Bedford-Stuyvesant,Bedford-Stuyvesant,9,Tuesday,0,Spring,2.09,High,6,1.8
Kensington,Harlem,7,Friday,0,Spring,1.71,Medium,1,1.3
Upper West Side,Bedford-Stuyvesant,18,Monday,0,Winter,1.66,High,1,1.8
Sheepshead Bay,Gravesend,7,Wednesday,0,Spring,9.03,Medium,1,1.3
Sheepshead Bay,Midwood,9,Tuesday,0,Spring,1.23,High,1,1.8
Crown Heights,Chelsea,18,Sunday,1,Summer,1.97,High,1,1.8
Bayswater,Sheepshead Bay,8,Thursday,0,Spring,0.62,High,1,1.8
South Slope,Williamsburg,8,Thursday,0,Spring,1.39,High,1,1.8
East Harlem,Clinton Hill,10,Friday,0,Winter,1.76,Medium,1,1.3
Midtown,Upper West Side,16,Monday,0,Winter,7.38,Medium,2,1.3
East Harlem,Inwood,18,Thursday,0,Summer,2.21,High,1,1.8
Bensonhurst,Coney Island,8,Tuesday,0,Spring,13.38,High,2,1.8
Upper West Side,Harlem,22,Friday,0,Summer,9.41,Low,1,1.0
Crown Heights,Clinton Hill,4,Monday,0,Spring,3.8,Low,3,1.0
Midwood,Great Kills,8,Wednesday,0,Spring,11.26,High,1,1.8
West Village,Kensington,14,Saturday,1,Spring,7.12,Low,2,1.0
Midwood,Grymes Hill,12,Wednesday,0,Spring,1.72,Low,2,1.0
Murray Hill,Kensington,20,Tuesday,0,Spring,0.57,Medium,1,1.3
Chinatown,Bedford-Stuyvesant,8,Wednesday,0,Winter,0.94,High,1,1.8
Upper West Side,Bedford-Stuyvesant,16,Friday,0,Winter,2.01,Medium,1,1.3
Williamsburg,Harlem,12,Thursday,0,Winter,2.59,Low,3,1.0
Hell's Kitchen,East Harlem,11,Friday,0,Spring,1.61,Low,2,1.0
West Village,Inwood,23,Sunday,1,Winter,2.01,Low,1,1.0
Sheepshead Bay,Far Rockaway,14,Friday,0,Spring,1.43,Low,1,1.0
Harlem,Bedford-Stuyvesant,20,Sunday,1,Summer,1.85,Medium,1,1.3
Castleton Corners,Fort Hamilton,19,Friday,0,Winter,1.48,High,1,1.8
Bath Beach,Sheepshead Bay,9,Thursday,0,Winter,8.14,High,5,1.8
Murray Hill,Williamsburg,13,Sunday,1,Winter,3.37,Low,1,1.0
Harlem,Crown Heights,15,Thursday,0,Winter,1.68,Low,2,1.0
Bedford-Stuyvesant,Upper West Side,3,Sunday,1,Summer,6.35,Low,1,1.0
Murray Hill,Upper West Side,19,Tuesday,0,Spring,2.39,High,2,1.8
East Harlem,Upper West Side,21,Tuesday,0,Summer,2.49,Low,2,1.0
Gravesend,Sheepshead Bay,13,Tuesday,0,Winter,2.33,Low,1,1.0
East Harlem,East Village,21,Thursday,0,Summer,2.11,Low,1,1.0
Midtown,Upper West Side,17,Monday,0,Winter,4.13,High,5,1.8
Williamsburg,Bedford-Stuyvesant,22,Thursday,0,Spring,3.52,Low,2,1.0
Williamsburg,Hell's Kitchen,11,Friday,0,Winter,1.58,Low,1,1.0
Crown Heights,Harlem,20,Wednesday,0,Summer,2.13,Medium,5,1.3
South Slope,Bedford-Stuyvesant,9,Saturday,1,Spring,6.3,High,1,1.8
Harlem,Fort Greene,2,Sunday,1,Winter,2.71,Low,1,1.0
Midwood,Bensonhurst,8,Thursday,0,Spring,4.66,High,1,1.8
Harlem,South Slope,20,Saturday,1,Winter,3.87,Medium,6,1.3
Great Kills,Midwood,14,Friday,0,Spring,13.88,Low,4,1.0
Hell's Kitchen,Hell's Kitchen,6,Tuesday,0,Spring,0.93,Low,5,1.0
Fort Greene,South Slope,1,Saturday,1,Winter,0.92,Low,1,1.0
Arverne,Arverne,17,Friday,0,Winter,0.99,High,1,1.8
Chinatown,Bedford-Stuyvesant,13,Sunday,1,Spring,2.3,Low,1,1.0
South Slope,Upper West Side,21,Saturday,1,Spring,2.44,Low,1,1.0
South Slope,Midtown,10,Sunday,1,Spring,1.01,Medium,1,1.3
Upper West Side,Clinton Hill,19,Tuesday,0,Spring,1.76,High,1,1.8
"Bay Terrace, Staten Island",Brighton Beach,18,Tuesday,0,Spring,1.16,High,4,1.8
Eltingville,Arden Heights,9,Sunday,1,Spring,23.57,High,1,1.8
Harlem,Upper West Side,9,Friday,0,Spring,2.59,High,1,1.8
Arden Heights,Fort Hamilton,13,Monday,0,Spring,11.75,Low,3,1.0
Harlem,Upper West Side,16,Monday,0,Winter,1.16,Medium,2,1.3
Bedford-Stuyvesant,Chinatown,0,Friday,0,Winter,3.89,Low,2,1.0
Far Rockaway,Sheepshead Bay,18,Thursday,0,Spring,1.65,High,1,1.8
Oakwood,Eltingville,14,Monday,0,Winter,9.01,Low,1,1.0
Bensonhurst,Great Kills,9,Tuesday,0,Spring,10.45,High,1,1.8
South Slope,Clinton Hill,10,Wednesday,0,Summer,4.61,Medium,2,1.3
Upper West Side,Park Slope,7,Friday,0,Spring,1.78,Medium,1,1.3
Bedford-Stuyvesant,Murray Hill,14,Tuesday,0,Spring,1.94,Low,1,1.0
Kensington,Clinton Hill,18,Monday,0,Spring,2.61,High,6,1.8
Harlem,Park Slope,10,Tuesday,0,Spring,3.12,Medium,1,1.3
Upper West Side,Upper West Side,21,Monday,0,Summer,9.61,Low,1,1.0
South Slope,Hell's Kitchen,21,Sunday,1,Spring,1.29,Low,2,1.0
Williamsburg,Harlem,19,Thursday,0,Winter,1.62,High,2,1.8
Arverne,Midwood,8,Tuesday,0,Winter,3.26,High,3,1.8
Williamsburg,South Slope,20,Tuesday,0,Spring,1.06,Medium,1,1.3
Clinton Hill,Upper West Side,15,Thursday,0,Winter,1.07,Low,1,1.0
Midtown,Williamsburg,8,Saturday,1,Winter,0.94,High,3,1.8
Kensington,Bedford-Stuyvesant,20,Monday,0,Spring,1.71,Medium,1,1.3
Harlem,Midtown,2,Tuesday,0,Spring,17.07,Low,1,1.0
Bedford-Stuyvesant,Midtown,6,Monday,0,Winter,0.86,Low,1,1.0
Harlem,Harlem,15,Sunday,1,Summer,4.1,Low,1,1.0
Tottenville,Eltingville,0,Saturday,1,Summer,24.16,Low,1,1.0
East Harlem,Bedford-Stuyvesant,19,Sunday,1,Winter,0.7,High,3,1.8
East Harlem,Harlem,0,Friday,0,Spring,6.46,Low,1,1.0
Park Slope,South Slope,19,Monday,0,Spring,1.41,High,1,1.8
Fort Hamilton,Clifton,13,Wednesday,0,Spring,1.99,Low,1,1.0
Hell's Kitchen,Bedford-Stuyvesant,3,Sunday,1,Spring,7.77,Low,1,1.0
Inwood,Bedford-Stuyvesant,8,Friday,0,Summer,2.08,High,1,1.8
Upper West Side,Bedford-Stuyvesant,7,Saturday,1,Summer,11.65,Medium,2,1.3
Emerson Hill,Flatlands,16,Saturday,1,Winter,2.78,Medium,3,1.3
Canarsie,Sheepshead Bay,9,Tuesday,0,Summer,1.61,High,1,1.8
Inwood,Hell's Kitchen,10,Saturday,1,Spring,6.04,Medium,1,1.3
Harlem,Williamsburg,23,Wednesday,0,Summer,8.88,Low,3,1.0
West Village,Bedford-Stuyvesant,18,Tuesday,0,Winter,5.61,High,1,1.8
Harlem,Bedford-Stuyvesant,12,Friday,0,Spring,0.98,Low,1,1.0
Tompkinsville,Eltingville,3,Sunday,1,Winter,11.21,Low,1,1.0
Clinton Hill,Clinton Hill,18,Monday,0,Winter,0.0,High,1,1.8
East Harlem,South Slope,6,Saturday,1,Summer,3.08,Low,1,1.0
Murray Hill,East Harlem,19,Monday,0,Spring,1.85,High,5,1.8
East Harlem,Hell's Kitchen,19,Sunday,1,Spring,0.81,High,4,1.8
Hell's Kitchen,Upper West Side,13,Saturday,1,Winter,2.83,Low,1,1.0
South Slope,Upper West Side,6,Wednesday,0,Spring,0.05,Low,1,1.0
Upper West Side,Hell's Kitchen,18,Friday,0,Winter,3.27,High,1,1.8
Bedford-Stuyvesant,Park Slope,14,Saturday,1,Summer,2.74,Low,1,1.0
Upper West Side,Harlem,20,Thursday,0,Spring,4.0,Medium,1,1.3
Greenpoint,West Village,4,Friday,0,Spring,4.54,Low,1,1.0
Midtown,East Harlem,23,Tuesday,0,Spring,7.79,Low,2,1.0
Crown Heights,Bedford-Stuyvesant,3,Saturday,1,Spring,9.16,Low,1,1.0
Crown Heights,Williamsburg,3,Saturday,1,Summer,4.39,Low,1,1.0
Fort Greene,Clinton Hill,17,Wednesday,0,Winter,2.98,High,1,1.8
East Harlem,South Slope,23,Monday,0,Spring,4.16,Low,1,1.0
Park Slope,Upper West Side,7,Saturday,1,Spring,2.31,Medium,1,1.3
Chinatown,Upper West Side,18,Thursday,0,Spring,4.13,High,1,1.8
South Slope,Bedford-Stuyvesant,17,Monday,0,Spring,1.6,High,1,1.8
Harlem,Fort Greene,23,Monday,0,Winter,1.74,Low,1,1.0
Midwood,Gravesend,18,Monday,0,Spring,2.98,High,2,1.8
Bedford-Stuyvesant,Chinatown,23,Saturday,1,Spring,5.44,Low,2,1.0
Bedford-Stuyvesant,Upper West Side,7,Thursday,0,Summer,1.65,Medium,1,1.3
Tottenville,Woodrow,17,Monday,0,Spring,24.54,High,1,1.8
Upper West Side,Upper West Side,3,Sunday,1,Winter,0.32,Low,1,1.0
Upper West Side,Bedford-Stuyvesant,13,Thursday,0,Spring,1.99,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,9,Monday,0,Spring,4.93,High,1,1.8
"Bay Terrace, Staten Island",Sheepshead Bay,11,Wednesday,0,Winter,9.23,Low,1,1.0
Bedford-Stuyvesant,Kensington,18,Monday,0,Winter,0.99,High,1,1.8
Clinton Hill,Upper West Side,18,Tuesday,0,Summer,1.13,High,1,1.8
East Harlem,Upper West Side,15,Wednesday,0,Winter,1.84,Low,1,1.0
Great Kills,Far Rockaway,13,Friday,0,Spring,11.28,Low,1,1.0
Harlem,East Harlem,11,Sunday,1,Spring,3.51,Low,5,1.0
Upper West Side,South Slope,20,Friday,0,Spring,1.14,Medium,2,1.3
Harlem,Murray Hill,17,Friday,0,Spring,3.06,High,1,1.8
East Harlem,Hell's Kitchen,15,Saturday,1,Spring,2.2,Low,1,1.0
Upper West Side,Murray Hill,12,Thursday,0,Spring,1.08,Low,6,1.0
Murray Hill,Upper West Side,12,Thursday,0,Summer,3.31,Low,3,1.0
Upper West Side,Murray Hill,13,Wednesday,0,Winter,2.9,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,13,Thursday,0,Winter,1.63,Low,1,1.0
Bedford-Stuyvesant,East Harlem,15,Saturday,1,Spring,7.88,Low,1,1.0
Upper West Side,Bedford-Stuyvesant,17,Saturday,1,Winter,1.17,High,1,1.8
Flatlands,Gravesend,17,Wednesday,0,Spring,5.78,High,1,1.8
Harlem,Midtown,3,Saturday,1,Spring,2.28,Low,1,1.0
East Harlem,Harlem,5,Wednesday,0,Summer,1.94,Low,1,1.0
Williamsburg,Upper West Side,2,Sunday,1,Spring,4.27,Low,1,1.0
Harlem,Harlem,18,Tuesday,0,Spring,0.0,High,2,1.8
Midwood,Midwood,11,Sunday,1,Spring,2.01,Low,1,1.0
West Village,Harlem,19,Wednesday,0,Spring,3.31,High,1,1.8
Upper West Side,West Village,18,Thursday,0,Spring,0.8,High,1,1.8
Arden Heights,Bensonhurst,18,Wednesday,0,Spring,6.86,High,1,1.8
Harlem,Upper West Side,11,Thursday,0,Winter,1.28,Low,1,1.0
Harlem,Clinton Hill,0,Wednesday,0,Spring,2.2,Low,1,1.0
East Harlem,Harlem,7,Friday,0,Spring,1.65,Medium,3,1.3
Harlem,Kensington,8,Tuesday,0,Spring,1.88,High,1,1.8
Bedford-Stuyvesant,Harlem,6,Tuesday,0,Spring,6.7,Low,5,1.0
Harlem,East Harlem,4,Tuesday,0,Spring,4.25,Low,2,1.0
Harlem,Harlem,7,Wednesday,0,Winter,1.5,Medium,1,1.3
Harlem,Bedford-Stuyvesant,9,Wednesday,0,Spring,1.22,High,1,1.8
Chinatown,Midtown,11,Friday,0,Summer,2.96,Low,1,1.0
Harlem,Upper West Side,11,Friday,0,Summer,2.35,Low,1,1.0
Harlem,Harlem,11,Sunday,1,Summer,4.05,Low,1,1.0
Midtown,Upper West Side,21,Tuesday,0,Spring,2.11,Low,3,1.0
Kensington,Harlem,13,Saturday,1,Summer,1.53,Low,1,1.0
Harlem,Bedford-Stuyvesant,22,Monday,0,Summer,1.47,Low,1,1.0
West Village,Greenpoint,8,Saturday,1,Winter,1.12,High,1,1.8
Bedford-Stuyvesant,Chinatown,17,Sunday,1,Spring,0.97,High,1,1.8
Hell's Kitchen,Bedford-Stuyvesant,14,Saturday,1,Spring,3.58,Low,1,1.0
East Village,West Village,4,Saturday,1,Spring,8.1,Low,1,1.0
Upper West Side,East Harlem,11,Wednesday,0,Spring,1.56,Low,1,1.0
Chinatown,Park Slope,16,Saturday,1,Spring,2.27,Medium,1,1.3
Midtown,Bedford-Stuyvesant,9,Tuesday,0,Winter,1.06,High,1,1.8
East Harlem,East Harlem,11,Monday,0,Spring,0.48,Low,1,1.0
East Harlem,Upper West Side,16,Thursday,0,Spring,1.64,Medium,1,1.3
Tottenville,Eltingville,22,Saturday,1,Winter,24.8,Low,5,1.0
Flatlands,Arden Heights,7,Wednesday,0,Spring,13.35,Medium,1,1.3
South Slope,South Slope,22,Monday,0,Winter,0.68,Low,1,1.0
Windsor Terrace,Greenpoint,2,Friday,0,Spring,0.87,Low,1,1.0
Kensington,Kensington,11,Monday,0,Summer,0.0,Low,1,1.0
South Slope,South Slope,22,Saturday,1,Spring,2.57,Low,2,1.0
Williamsburg,Bedford-Stuyvesant,17,Saturday,1,Summer,4.0,High,2,1.8
Fort Greene,Williamsburg,10,Thursday,0,Spring,1.55,Medium,1,1.3
Bedford-Stuyvesant,Upper West Side,19,Saturday,1,Spring,4.21,High,1,1.8
Kensington,Murray Hill,16,Monday,0,Winter,7.14,Medium,1,1.3
Williamsburg,Hell's Kitchen,6,Saturday,1,Winter,1.45,Low,1,1.0
Midtown,Park Slope,1,Thursday,0,Winter,3.9,Low,2,1.0
Upper West Side,Chinatown,7,Thursday,0,Summer,1.61,Medium,1,1.3
East Harlem,Park Slope,8,Sunday,1,Winter,5.67,High,1,1.8
Harlem,West Village,20,Friday,0,Spring,10.67,Medium,1,1.3
East Harlem,Harlem,10,Thursday,0,Summer,2.72,Medium,1,1.3
Windsor Terrace,South Slope,2,Sunday,1,Spring,1.34,Low,2,1.0
Bensonhurst,Bay Ridge,19,Saturday,1,Winter,1.68,High,5,1.8
Kensington,Midtown,14,Friday,0,Spring,0.06,Low,1,1.0
Harlem,Clinton Hill,12,Wednesday,0,Winter,1.83,Low,1,1.0
Bedford-Stuyvesant,Upper West Side,8,Monday,0,Winter,1.6,High,3,1.8
Hell's Kitchen,Harlem,12,Friday,0,Spring,2.06,Low,1,1.0
Crown Heights,Hell's Kitchen,6,Wednesday,0,Winter,1.96,Low,1,1.0
Harlem,Bedford-Stuyvesant,13,Sunday,1,Winter,1.64,Low,2,1.0
Flatbush,Great Kills,19,Sunday,1,Winter,12.86,High,1,1.8
East Harlem,Upper West Side,18,Wednesday,0,Winter,2.78,High,1,1.8
Upper West Side,Bedford-Stuyvesant,8,Tuesday,0,Spring,0.44,High,1,1.8
Upper West Side,Upper West Side,13,Monday,0,Winter,2.92,Low,1,1.0
Upper West Side,Upper West Side,9,Wednesday,0,Summer,2.09,High,1,1.8
