trip_id,pickup_location,drop_location,pickup_date,pickup_time,pickup_hour,time_of_day,weekday,is_weekend,season,passenger_count,trip_distance_km,traffic_level,actual_eta_minutes,average_speed,surge_multiplier
id0283075,Tottenville,Great Kills,06-04-2016,23:42,23,Evening,Wednesday,0,Spring,1,23.62,Low,29.7,47.7,1
id2107497,Concord,Flatlands,13-05-2016,20:46,20,Evening,Friday,0,Spring,2,1.91,Medium,19.6,5.8,1.3
id2090852,Upper West Side,South Slope,28-01-2016,11:25,11,Morning,Thursday,0,Winter,1,0.95,Low,5.6,10.2,1
id1297351,Chelsea,Clinton Hill,24-06-2016,14:24,14,Afternoon,Friday,0,Summer,1,1.75,Low,7.8,13.5,1
id0667605,Midtown,East Harlem,27-05-2016,16:17,16,Afternoon,Friday,0,Spring,1,1.76,Medium,5.8,18.2,1.3
id1476107,Clinton Hill,Midtown,22-05-2016,15:41,15,Afternoon,Sunday,1,Spring,1,1.51,Low,7,12.9,1
id0673727,Arverne,Brighton Beach,18-05-2016,19:15,19,Evening,Wednesday,0,Spring,1,12.51,High,29.4,25.5,1.8
id2030290,Great Kills,Flatlands,31-03-2016,11:33,11,Morning,Thursday,0,Spring,3,13.53,Low,39,20.8,1
id3770790,Fort Hamilton,Rockaway Beach,13-02-2016,13:12,13,Afternoon,Saturday,1,Winter,1,1.85,Low,6.8,16.3,1
id3025098,Fort Greene,Park Slope,20-01-2016,19:21,19,Evening,Wednesday,0,Winter,1,2.73,High,9.9,16.5,1.8
id3333094,East Harlem,South Slope,02-06-2016,23:34,23,Evening,Thursday,0,Summer,1,1.44,Low,7.2,12,1
id2228940,East Harlem,Kensington,04-02-2016,13:22,13,Afternoon,Thursday,0,Winter,1,3.1,Low,18.5,10.1,1
id2102594,Tottenville,Great Kills,30-03-2016,16:14,16,Afternoon,Wednesday,0,Spring,1,20.65,Medium,47.1,26.3,1.3
id0010677,Fort Hamilton,Fort Hamilton,29-04-2016,10:40,10,Morning,Friday,0,Spring,2,1.66,Medium,12.8,7.8,1.3
id3194108,Chinatown,East Harlem,01-06-2016,11:48,11,Morning,Wednesday,0,Summer,1,3.67,Low,30.4,7.2,1
id2063827,Clinton Hill,Hell's Kitchen,18-05-2016,21:09,21,Evening,Wednesday,0,Spring,1,1.21,Low,9.9,7.3,1
id0105610,Prince's Bay,Prince's Bay,19-02-2016,20:01,20,Evening,Friday,0,Winter,3,24.09,Medium,34.4,42,1.3
id3502065,Kensington,South Slope,15-03-2016,21:03,21,Evening,Tuesday,0,Spring,1,3.49,Low,10.9,19.2,1
id3508035,Tottenville,Eltingville,06-06-2016,20:13,20,Evening,Monday,0,Summer,6,23.64,Medium,31.4,45.2,1.3
id3236276,South Slope,East Harlem,27-01-2016,08:07,8,Morning,Wednesday,0,Winter,1,2.51,High,16.5,9.1,1.8
id3277902,East Harlem,Bedford-Stuyvesant,09-04-2016,15:04,15,Afternoon,Saturday,1,Spring,1,2.7,Low,7,23.1,1
id2335059,Murray Hill,Clinton Hill,27-05-2016,11:10,11,Morning,Friday,0,Spring,4,1.47,Low,16,5.5,1
id2300865,Hell's Kitchen,East Harlem,10-05-2016,10:31,10,Morning,Tuesday,0,Spring,1,1.04,Medium,4,15.6,1.3
id3962434,East Harlem,Kensington,10-01-2016,08:45,8,Morning,Sunday,1,Winter,2,1.57,High,6.2,15.2,1.8
id2677672,East Harlem,Upper West Side,18-02-2016,17:47,17,Afternoon,Thursday,0,Winter,2,1.18,High,6.4,11.1,1.8
id0589360,"Bay Terrace, Staten Island",Arverne,22-05-2016,17:34,17,Afternoon,Sunday,1,Spring,1,17.48,High,45.9,22.8,1.8
id0970832,Gravesend,Bensonhurst,12-03-2016,20:39,20,Evening,Saturday,1,Spring,1,4.51,Medium,26,10.4,1.3
id0694434,Hell's Kitchen,Fort Greene,26-01-2016,23:40,23,Evening,Tuesday,0,Winter,1,5.57,Low,8.4,39.8,1
id3729136,Kensington,Crown Heights,30-01-2016,15:15,15,Afternoon,Saturday,1,Winter,2,3.78,Low,15,15.1,1
id2358953,Williamsburg,Tottenville,27-06-2016,00:31,0,Night,Monday,0,Summer,1,27.13,Low,35.3,46.1,1
id0935429,South Slope,Clinton Hill,02-05-2016,06:58,6,Morning,Monday,0,Spring,1,2.95,Low,10.2,17.4,1
id3056417,South Slope,Midtown,11-04-2016,14:18,14,Afternoon,Monday,0,Spring,1,1.09,Low,16.2,4,1
id1152886,East Harlem,Upper West Side,21-01-2016,14:34,14,Afternoon,Thursday,0,Winter,1,1.81,Low,10.1,10.8,1
id1796723,Harlem,South Slope,09-02-2016,15:54,15,Afternoon,Tuesday,0,Winter,1,1.63,Low,9.9,9.9,1
id0045014,Williamsburg,Crown Heights,20-04-2016,20:29,20,Evening,Wednesday,0,Spring,1,2.39,Medium,9.6,14.9,1.3
id2648478,East Harlem,Crown Heights,18-01-2016,11:13,11,Morning,Monday,0,Winter,1,1.16,Low,5,13.9,1
id0702030,Clinton Hill,Harlem,07-01-2016,23:24,23,Evening,Thursday,0,Winter,1,0.95,Low,1.7,33.5,1
id3024438,West Village,South Slope,10-06-2016,22:24,22,Evening,Friday,0,Summer,1,6.85,Low,17.4,23.6,1
id2146569,Chelsea,West Village,23-06-2016,22:17,22,Evening,Thursday,0,Summer,1,0.7,Low,3.5,12,1
id2307151,Park Slope,Upper West Side,07-02-2016,18:08,18,Evening,Sunday,1,Winter,1,2.68,High,7,23,1.8
id2049424,Kensington,Midtown,02-03-2016,20:15,20,Evening,Wednesday,0,Spring,1,5.19,Medium,22.6,13.8,1.3
id2209089,Bedford-Stuyvesant,Harlem,24-02-2016,22:56,22,Evening,Wednesday,0,Winter,1,0.38,Low,6.9,3.3,1
id0391524,Fort Greene,Kensington,06-04-2016,12:14,12,Afternoon,Wednesday,0,Spring,1,1.89,Low,18.6,6.1,1
id2681033,Murray Hill,West Village,17-06-2016,10:01,10,Morning,Friday,0,Summer,1,2.95,Medium,14.6,12.1,1.3
id2040275,Chinatown,Williamsburg,16-06-2016,20:31,20,Evening,Thursday,0,Summer,1,2.19,Medium,5.4,24.3,1.3
id0073842,East Harlem,Hell's Kitchen,30-03-2016,23:49,23,Evening,Wednesday,0,Spring,1,1.42,Low,6.7,12.7,1
id3942339,Kensington,Harlem,05-01-2016,17:58,17,Afternoon,Tuesday,0,Winter,1,1.38,High,15.6,5.3,1.8
id2991616,East Harlem,Crown Heights,19-03-2016,19:51,19,Evening,Saturday,1,Spring,3,1.27,High,12.9,5.9,1.8
id1047459,Park Slope,Murray Hill,22-01-2016,17:31,17,Afternoon,Friday,0,Winter,3,1.36,High,5.6,14.6,1.8
id1737558,Williamsburg,West Village,18-05-2016,19:08,19,Evening,Wednesday,0,Spring,1,1.8,High,3.9,27.7,1.8
id2135557,Kensington,Kensington,25-05-2016,13:19,13,Afternoon,Wednesday,0,Spring,5,2.41,Low,7.9,18.3,1
id0659170,East Harlem,Clinton Hill,26-03-2016,13:07,13,Afternoon,Saturday,1,Spring,1,10.66,Low,21.9,29.2,1
id1125774,Upper West Side,Bedford-Stuyvesant,19-01-2016,22:20,22,Evening,Tuesday,0,Winter,2,3.21,Low,8,24.1,1
id1886740,West Village,Crown Heights,29-05-2016,00:15,0,Night,Sunday,1,Spring,1,3.77,Low,9.4,24.1,1
id1982306,Bedford-Stuyvesant,Williamsburg,10-02-2016,21:06,21,Evening,Wednesday,0,Winter,2,0.85,Low,3.2,15.9,1
id2684106,Chelsea,Hell's Kitchen,26-02-2016,20:59,20,Evening,Friday,0,Winter,2,4.62,Medium,15.2,18.2,1.3
id0038484,Kensington,Harlem,09-03-2016,13:41,13,Afternoon,Wednesday,0,Spring,2,0.73,Low,12.3,3.6,1
id1734208,Fort Greene,South Slope,11-04-2016,10:44,10,Morning,Monday,0,Spring,6,2.81,Medium,11.9,14.2,1.3
id0561467,Upper West Side,Hell's Kitchen,09-02-2016,06:58,6,Morning,Tuesday,0,Winter,1,3.7,Low,13.6,16.3,1
id3092788,Kensington,West Village,03-03-2016,22:01,22,Evening,Thursday,0,Spring,2,2.23,Low,16.2,8.3,1
id1741519,South Slope,Harlem,26-03-2016,14:47,14,Afternoon,Saturday,1,Spring,1,1.3,Low,5.3,14.7,1
id1330402,Clinton Hill,Hell's Kitchen,22-05-2016,18:06,18,Evening,Sunday,1,Spring,1,2.42,High,10.4,14,1.8
id2505596,Bedford-Stuyvesant,Harlem,28-05-2016,22:53,22,Evening,Saturday,1,Spring,1,2.32,Low,14.3,9.7,1
id1630509,Upper West Side,Clinton Hill,16-03-2016,05:42,5,Night,Wednesday,0,Spring,2,1.71,Low,2.4,42.8,1
id0512853,Midtown,Harlem,28-05-2016,17:40,17,Afternoon,Saturday,1,Spring,1,4.7,High,16.4,17.2,1.8
id3089912,East Harlem,Park Slope,13-06-2016,13:22,13,Afternoon,Monday,0,Summer,2,1.61,Low,9.4,10.3,1
id1137965,Upper West Side,Harlem,16-05-2016,15:02,15,Afternoon,Monday,0,Spring,1,1.28,Low,5.8,13.2,1
id3677225,Harlem,South Slope,09-01-2016,15:07,15,Afternoon,Saturday,1,Winter,1,2.63,Low,5.7,27.7,1
id0401226,Inwood,East Harlem,26-05-2016,06:37,6,Morning,Thursday,0,Spring,4,5.18,Low,15.2,20.4,1
id2452605,Inwood,East Harlem,22-05-2016,22:42,22,Evening,Sunday,1,Spring,1,1.49,Low,3.8,23.5,1
id3618302,Bedford-Stuyvesant,Bedford-Stuyvesant,19-04-2016,09:27,9,Morning,Tuesday,0,Spring,6,2.09,High,18,7,1.8
id1552358,Kensington,Harlem,01-04-2016,07:55,7,Morning,Friday,0,Spring,1,1.71,Medium,15,6.8,1.3
id1168234,Upper West Side,Bedford-Stuyvesant,01-02-2016,18:02,18,Evening,Monday,0,Winter,1,1.66,High,10.5,9.5,1.8
id2910320,Sheepshead Bay,Gravesend,20-04-2016,07:33,7,Morning,Wednesday,0,Spring,1,9.03,Medium,23.1,23.5,1.3
id3331830,Sheepshead Bay,Midwood,12-04-2016,09:21,9,Morning,Tuesday,0,Spring,1,1.23,High,14.5,5.1,1.8
id0195963,Crown Heights,Chelsea,19-06-2016,18:39,18,Evening,Sunday,1,Summer,1,1.97,High,9.6,12.3,1.8
id0762989,Bayswater,Sheepshead Bay,17-03-2016,08:24,8,Morning,Thursday,0,Spring,1,0.62,High,1.7,21.9,1.8
id2671060,South Slope,Williamsburg,07-04-2016,08:44,8,Morning,Thursday,0,Spring,1,1.39,High,7,11.9,1.8
id3620795,East Harlem,Clinton Hill,01-01-2016,10:45,10,Morning,Friday,0,Winter,1,1.76,Medium,6.4,16.5,1.3
id2282206,Midtown,Upper West Side,04-01-2016,16:32,16,Afternoon,Monday,0,Winter,2,7.38,Medium,18.6,23.8,1.3
id0591292,East Harlem,Inwood,09-06-2016,18:43,18,Evening,Thursday,0,Summer,1,2.21,High,24.1,5.5,1.8
id0906779,Bensonhurst,Coney Island,19-04-2016,08:31,8,Morning,Tuesday,0,Spring,2,13.38,High,42.4,18.9,1.8
id2326430,Upper West Side,Harlem,10-06-2016,22:06,22,Evening,Friday,0,Summer,1,9.41,Low,16.4,34.4,1
id3863815,Crown Heights,Clinton Hill,14-03-2016,04:24,4,Night,Monday,0,Spring,3,3.8,Low,12.6,18.1,1
id3048297,Midwood,Great Kills,06-04-2016,08:53,8,Morning,Wednesday,0,Spring,1,11.26,High,21,32.2,1.8
id3649509,West Village,Kensington,02-04-2016,14:46,14,Afternoon,Saturday,1,Spring,2,7.12,Low,20.4,20.9,1
id1783063,Midwood,Grymes Hill,06-04-2016,12:24,12,Afternoon,Wednesday,0,Spring,2,1.72,Low,15.7,6.6,1
id3363012,Murray Hill,Kensington,12-04-2016,20:22,20,Evening,Tuesday,0,Spring,1,0.57,Medium,2.1,16.3,1.3
id0514638,Chinatown,Bedford-Stuyvesant,10-02-2016,08:36,8,Morning,Wednesday,0,Winter,1,0.94,High,5.8,9.7,1.8
id0627115,Upper West Side,Bedford-Stuyvesant,26-02-2016,16:10,16,Afternoon,Friday,0,Winter,1,2.01,Medium,12.3,9.8,1.3
id3141299,Williamsburg,Harlem,14-01-2016,12:25,12,Afternoon,Thursday,0,Winter,3,2.59,Low,11.5,13.5,1
id2003497,Hell's Kitchen,East Harlem,15-04-2016,11:58,11,Morning,Friday,0,Spring,2,1.61,Low,11.2,8.6,1
id3748197,West Village,Inwood,07-02-2016,23:17,23,Evening,Sunday,1,Winter,1,2.01,Low,7.7,15.7,1
id2983261,Sheepshead Bay,Far Rockaway,15-04-2016,14:41,14,Afternoon,Friday,0,Spring,1,1.43,Low,6.1,14.1,1
id0485870,Harlem,Bedford-Stuyvesant,19-06-2016,20:23,20,Evening,Sunday,1,Summer,1,1.85,Medium,6.2,17.9,1.3
id0835694,Castleton Corners,Fort Hamilton,15-01-2016,19:25,19,Evening,Friday,0,Winter,1,1.48,High,6.7,13.3,1.8
id3426410,Bath Beach,Sheepshead Bay,18-02-2016,09:27,9,Morning,Thursday,0,Winter,5,8.14,High,18.2,26.8,1.8
id3673678,Murray Hill,Williamsburg,31-01-2016,13:52,13,Afternoon,Sunday,1,Winter,1,3.37,Low,11,18.4,1
id2460349,Harlem,Crown Heights,07-01-2016,15:40,15,Afternoon,Thursday,0,Winter,2,1.68,Low,8.8,11.5,1
id3198639,Bedford-Stuyvesant,Upper West Side,05-06-2016,03:02,3,Night,Sunday,1,Summer,1,6.35,Low,12.2,31.2,1
id1872601,Murray Hill,Upper West Side,31-05-2016,19:16,19,Evening,Tuesday,0,Spring,2,2.39,High,11.6,12.4,1.8
id0125957,East Harlem,Upper West Side,14-06-2016,21:16,21,Evening,Tuesday,0,Summer,2,2.49,Low,4.9,30.5,1
id3526986,Gravesend,Sheepshead Bay,23-02-2016,13:28,13,Afternoon,Tuesday,0,Winter,1,2.33,Low,11,12.7,1
id3170873,East Harlem,East Village,30-06-2016,21:35,21,Evening,Thursday,0,Summer,1,2.11,Low,10.9,11.6,1
id1674373,Midtown,Upper West Side,15-02-2016,17:52,17,Afternoon,Monday,0,Winter,5,4.13,High,9.8,25.3,1.8
id2973697,Williamsburg,Bedford-Stuyvesant,07-04-2016,22:52,22,Evening,Thursday,0,Spring,2,3.52,Low,17.6,12,1
id1592044,Williamsburg,Hell's Kitchen,29-01-2016,11:23,11,Morning,Friday,0,Winter,1,1.58,Low,9.7,9.8,1
id3899813,Crown Heights,Harlem,01-06-2016,20:15,20,Evening,Wednesday,0,Summer,5,2.13,Medium,19.2,6.7,1.3
id2075052,South Slope,Bedford-Stuyvesant,09-04-2016,09:09,9,Morning,Saturday,1,Spring,1,6.3,High,11,34.4,1.8
id3707411,Harlem,Fort Greene,03-01-2016,02:03,2,Night,Sunday,1,Winter,1,2.71,Low,13.4,12.1,1
id1608545,Midwood,Bensonhurst,14-04-2016,08:31,8,Morning,Thursday,0,Spring,1,4.66,High,32.6,8.6,1.8
id3517425,Harlem,South Slope,16-01-2016,20:34,20,Evening,Saturday,1,Winter,6,3.87,Medium,17.2,13.5,1.3
id3942917,Great Kills,Midwood,29-04-2016,14:18,14,Afternoon,Friday,0,Spring,4,13.88,Low,47,17.7,1
id2000923,Hell's Kitchen,Hell's Kitchen,29-03-2016,06:07,6,Morning,Tuesday,0,Spring,5,0.93,Low,1.4,39.9,1
id3564028,Fort Greene,South Slope,02-01-2016,01:16,1,Night,Saturday,1,Winter,1,0.92,Low,3.2,17.2,1
id1233453,Arverne,Arverne,05-02-2016,17:28,17,Afternoon,Friday,0,Winter,1,0.99,High,1.9,31.3,1.8
id1372674,Chinatown,Bedford-Stuyvesant,22-05-2016,13:08,13,Afternoon,Sunday,1,Spring,1,2.3,Low,13.4,10.3,1
id2806146,South Slope,Upper West Side,28-05-2016,21:31,21,Evening,Saturday,1,Spring,1,2.44,Low,10,14.6,1
id1832737,South Slope,Midtown,06-03-2016,10:53,10,Morning,Sunday,1,Spring,1,1.01,Medium,6.1,9.9,1.3
id1489766,Upper West Side,Clinton Hill,31-05-2016,19:53,19,Evening,Tuesday,0,Spring,1,1.76,High,7.2,14.7,1.8
id3308765,"Bay Terrace, Staten Island",Brighton Beach,17-05-2016,18:00,18,Evening,Tuesday,0,Spring,4,1.16,High,10,7,1.8
